ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status
104,LJ-1428,,,,Thin-Jam Lock Nut 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
105,LJ-3410,,,,Thin-Jam Lock Nut 15,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
106,LJ-3416,,,,Thin-Jam Lock Nut 16,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
107,LJ-3816,,,,Thin-Jam Lock Nut 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
108,LJ-3824,,,,Thin-Jam Lock Nut 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
109,LJ-5161,,,,Thin-Jam Lock Nut 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
110,LJ-5162,,,,Thin-Jam Lock Nut 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
111,LJ-5811,,,,Thin-Jam Lock Nut 13,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
112,LJ-5818,,,,Thin-Jam Lock Nut 14,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
113,LJ-7161,,,,Thin-Jam Lock Nut 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
114,LJ-7162,,,,Thin-Jam Lock Nut 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
115,LJ-9080,,,,Thin-Jam Lock Nut 12,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
116,LJ-9161,,,,Thin-Jam Lock Nut 11,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
117,LN-1024,,,,Lock Nut 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
118,LN-1032,,,,Lock Nut 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
119,LN-1213,,,,Lock Nut 16,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
120,LN-1220,,,,Lock Nut 17,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
121,LN-1224,,,,Lock Nut 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
122,LN-1420,,,,Lock Nut 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
123,LN-1428,,,,Lock Nut 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
124,LN-3410,,,,Lock Nut 22,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
125,LN-3416,,,,Lock Nut 23,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
126,LN-3816,,,,Lock Nut 12,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
127,LN-3824,,,,Lock Nut 13,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
128,LN-4400,,,,Lock Nut 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
129,LN-5161,,,,Lock Nut 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
130,LN-5162,,,,Lock Nut 11,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
131,LN-5400,,,,Lock Nut 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
132,LN-5811,,,,Lock Nut 20,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
133,LN-5818,,,,Lock Nut 21,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
134,LN-6320,,,,Lock Nut 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
135,LN-7161,,,,Lock Nut 14,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
136,LN-7162,,,,Lock Nut 15,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
137,LN-8320,,,,Lock Nut 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
138,LN-9080,,,,Lock Nut 19,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
139,LN-9161,,,,Lock Nut 18,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
140,LR-2398,,,,Lock Ring,,,,False,Silver,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
141,LR-8520,,,,Lower Head Race,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
142,LW-1000,,,,Lock Washer 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
143,LW-1200,,,,Lock Washer 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
144,LW-1201,,,,Lock Washer 10,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
145,LW-1400,,,,Lock Washer 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
146,LW-3400,,,,Lock Washer 13,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
147,LW-3800,,,,Lock Washer 8,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
148,LW-4000,,,,Lock Washer 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
149,LW-5160,,,,Lock Washer 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
150,LW-5800,,,,Lock Washer 12,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
151,LW-6000,,,,Lock Washer 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
152,LW-7160,,,,Lock Washer 9,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
153,LW-8000,,,,Lock Washer 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
154,LW-9160,,,,Lock Washer 11,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
155,MA-7075,,,,Metal Angle,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
156,MB-2024,,,,Metal Bar 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
157,MB-6061,,,,Metal Bar 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
158,MP-2066,,,,Metal Plate 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
159,MP-2503,,,,Metal Plate 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
160,MP-4960,,,,Metal Plate 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
161,MS-0253,,,,Metal Sheet 2,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
162,MS-1256,,,,Metal Sheet 3,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
163,MS-1981,,,,Metal Sheet 7,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
164,MS-2259,,,,Metal Sheet 4,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
165,MS-2341,,,,Metal Sheet 5,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
166,MS-2348,,,,Metal Sheet 6,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
167,MS-6061,,,,Metal Sheet 1,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
168,MT-1000,,,,Metal Tread Plate,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
169,NI-4127,,,,LL Nipple,,,,False,NA,1000,750,,,NA,,0,,,L ,,,,2003-07-01 00:00:00,,Current
170,NI-9522,,,,HL Nipple,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
171,PA-187B,,,,Paint - Black,,,,False,NA,60,45,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
172,PA-361R,,,,Paint - Red,,,,False,NA,60,45,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
173,PA-529S,,,,Paint - Silver,,,,False,NA,60,45,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
174,PA-632U,,,,Paint - Blue,,,,False,NA,60,45,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
175,PA-823Y,,,,Paint - Yellow,,,,False,NA,60,45,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
176,PB-6109,,,,Pinch Bolt,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
177,RA-2345,,,,Cup-Shaped Race,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
178,RA-7490,,,,Cone-Shaped Race,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
179,RF-9198,,,,Reflector,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
180,RM-M464,,G  ,,LL Mountain Rim,,,,False,NA,800,600,,,NA,435,0,,,L ,,,,2003-07-01 00:00:00,,Current
181,RM-M692,,G  ,,ML Mountain Rim,,,,False,NA,800,600,,,NA,450,0,,,M ,,,,2003-07-01 00:00:00,,Current
182,RM-M823,,G  ,,HL Mountain Rim,,,,False,NA,800,600,,,NA,400,0,,,,,,,2003-07-01 00:00:00,,Current
183,RM-R436,,G  ,,LL Road Rim,,,,False,NA,800,600,,,NA,445,0,,,L ,,,,2003-07-01 00:00:00,,Current
184,RM-R600,,G  ,,ML Road Rim,,,,False,NA,800,600,,,NA,450,0,,,M ,,,,2003-07-01 00:00:00,,Current
185,RM-R800,,G  ,,HL Road Rim,,,,False,NA,800,600,,,NA,400,0,,,,,,,2003-07-01 00:00:00,,Current
186,RM-T801,,G  ,,Touring Rim,,,,False,NA,800,600,,,NA,460,0,,,,,,,2003-07-01 00:00:00,,Current
187,SA-M198,,,,LL Mountain Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,L ,,,,2003-07-01 00:00:00,,Current
188,SA-M237,,,,ML Mountain Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,M ,,,,2003-07-01 00:00:00,,Current
189,SA-M687,,,,HL Mountain Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
190,SA-R127,,,,LL Road Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,L ,,,,2003-07-01 00:00:00,,Current
191,SA-R430,,,,ML Road Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,M ,,,,2003-07-01 00:00:00,,Current
192,SA-R522,,,,HL Road Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
193,SA-T467,,,,LL Touring Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,L ,,,,2003-07-01 00:00:00,,Current
194,SA-T612,,,,ML Touring Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,M ,,,,2003-07-01 00:00:00,,Current
195,SA-T872,,,,HL Touring Seat Assembly,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
196,SD-2342,,,,LL Spindle/Axle,,,,False,NA,500,375,,,NA,,0,,,L ,,,,2003-07-01 00:00:00,,Current
197,SD-9872,,,,HL Spindle/Axle,,,,False,NA,500,375,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
198,SH-4562,,,,LL Shell,,,,False,NA,800,600,,,NA,,0,,,L ,,,,2003-07-01 00:00:00,,Current
199,SH-9312,,,,HL Shell,,,,False,NA,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
200,SK-9283,,,,Spokes,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
201,SL-0931,,,,Seat Lug,,,,False,NA,1000,750,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
202,SM-9087,,,,Stem,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
203,SP-2981,,,,Seat Post,,,,False,NA,500,375,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
204,SR-2098,,,,Steerer,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
205,SS-2985,,,,Seat Stays,,,,False,NA,800,600,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
206,ST-9828,,,,Seat Tube,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
207,TO-2301,,,,Top Tube,,,,False,NA,500,375,,,NA,,1,,,,,,,2003-07-01 00:00:00,,Current
208,TP-0923,,,,Tension Pulley,,,,False,NA,800,600,,,NA,,0,,,,,,,2003-07-01 00:00:00,,Current
